kind,id,vineyard_id,area_m2,area_ha,length_m,n_parts,tile_names,centroid_x,centroid_y
vineyard,V54,V54,0.443,0.000044,,1,siret3_r008_c003.tif,629187.402,5220777.012
vineyard,V54,V54,0.430,0.000043,,1,siret3_r008_c003.tif,629170.539,5220805.384
vineyard,V378,V378,0.793,0.000079,,1,siret3_r021_c011.tif,629579.854,5220143.954
vineyard,V44,V44,0.346,0.000035,,1,siret3_r006_c004.tif,629238.489,5220886.879
vineyard,V378,V378,0.624,0.000062,,1,siret3_r020_c013.tif,629665.192,5220159.485
vineyard,V378,V378,0.749,0.000075,,1,siret3_r020_c014.tif,629709.690,5220184.141
vineyard,V378,V378,0.629,0.000063,,1,siret3_r020_c013.tif,629704.904,5220172.030
vineyard,V44,V44,0.679,0.000068,,1,siret3_r006_c004.tif,629221.521,5220887.836
vineyard,V398,V398,0.775,0.000077,,1,siret3_r022_c014.tif,629725.839,5220076.153
vineyard,V54,V54,0.399,0.000040,,1,siret3_r008_c005.tif,629257.905,5220786.086
vineyard,V54,V54,0.491,0.000049,,1,siret3_r009_c003.tif,629195.292,5220744.493
vineyard,V378,V378,0.494,0.000049,,1,siret3_r020_c013.tif,629671.023,5220170.120
vineyard,V331,V331,0.648,0.000065,,1,siret3_r019_c012.tif,629612.868,5220232.335
vineyard,V331,V331,0.686,0.000069,,1,siret3_r019_c011.tif,629564.006,5220202.200
vineyard,V54,V54,0.596,0.000060,,1,siret3_r007_c003.tif,629178.714,5220825.447
vineyard,V54,V54,0.610,0.000061,,1,siret3_r008_c003.tif,629192.165,5220805.329
vineyard,V54,V54,0.763,0.000076,,1,siret3_r007_c003.tif,629165.504,5220824.393
vineyard,V378,V378,0.438,0.000044,,1,siret3_r021_c014.tif,629719.779,5220134.443
vineyard,V54,V54,0.637,0.000064,,1,siret3_r007_c003.tif,629187.438,5220817.449
vineyard,V54,V54,0.560,0.000056,,1,siret3_r008_c003.tif,629187.606,5220769.953
vineyard,V54,V54,0.454,0.000045,,1,siret3_r009_c004.tif,629238.374,5220752.895
vineyard,V378,V378,0.590,0.000059,,1,siret3_r021_c013.tif,629685.331,5220128.638
vineyard,V398,V398,0.711,0.000071,,1,siret3_r022_c014.tif,629728.058,5220068.014
vineyard,V378,V378,0.619,0.000062,,1,siret3_r020_c012.tif,629643.708,5220168.752
vineyard,V54,V54,0.534,0.000053,,1,siret3_r007_c003.tif,629177.835,5220827.512
vineyard,V398,V398,0.725,0.000072,,1,siret3_r022_c014.tif,629710.712,5220072.519
vineyard,V54,V54,0.506,0.000051,,1,siret3_r008_c003.tif,629190.472,5220769.479
vineyard,V54,V54,0.626,0.000063,,1,siret3_r008_c003.tif,629182.517,5220789.257
vineyard,V54,V54,0.477,0.000048,,1,siret3_r009_c004.tif,629199.118,5220741.881
vineyard,V398,V398,0.744,0.000074,,1,siret3_r022_c014.tif,629737.231,5220065.405
vineyard,V378,V378,0.398,0.000040,,1,siret3_r021_c013.tif,629697.345,5220117.638
vineyard,V54,V54,0.482,0.000048,,1,siret3_r008_c003.tif,629188.534,5220774.265
vineyard,V05,V05,0.389,0.000039,,1,siret3_r009_c002.tif,629099.658,5220732.687
vineyard,V378,V378,0.481,0.000048,,1,siret3_r021_c014.tif,629726.491,5220134.477
vineyard,V378,V378,0.606,0.000061,,1,siret3_r021_c013.tif,629687.448,5220125.767
vineyard,V378,V378,0.544,0.000054,,1,siret3_r021_c014.tif,629729.908,5220139.137
vineyard,V398,V398,0.607,0.000061,,1,siret3_r022_c014.tif,629750.106,5220058.338
vineyard,V378,V378,0.687,0.000069,,1,siret3_r020_c011.tif,629590.898,5220148.114
vineyard,V05,V05,0.413,0.000041,,1,siret3_r010_c002.tif,629121.042,5220699.957
vineyard,V331,V331,0.712,0.000071,,1,siret3_r018_c012.tif,629650.215,5220252.154
vineyard,V331,V331,0.742,0.000074,,1,siret3_r019_c010.tif,629546.508,5220243.425
vineyard,V378,V378,0.773,0.000077,,1,siret3_r021_c012.tif,629631.840,5220130.578
vineyard,V331,V331,0.603,0.000060,,1,siret3_r019_c011.tif,629559.093,5220248.467
vineyard,V54,V54,0.573,0.000057,,1,siret3_r007_c004.tif,629197.287,5220814.236
vineyard,V378,V378,0.769,0.000077,,1,siret3_r020_c011.tif,629574.200,5220156.104
vineyard,V378,V378,0.690,0.000069,,1,siret3_r020_c013.tif,629693.468,5220177.431
vineyard,V398,V398,0.610,0.000061,,1,siret3_r022_c014.tif,629717.394,5220068.840
vineyard,V378,V378,0.635,0.000064,,1,siret3_r021_c013.tif,629704.913,5220121.845
vineyard,V627,V627,0.427,0.000043,,1,siret3_r027_c018.tif,629936.909,5219831.460
vineyard,V54,V54,0.290,0.000029,,1,siret3_r007_c003.tif,629172.119,5220821.446
vineyard,V54,V54,0.427,0.000043,,1,siret3_r009_c004.tif,629200.406,5220738.722
vineyard,V398,V398,0.580,0.000058,,1,siret3_r022_c013.tif,629670.223,5220053.336
vineyard,V331,V331,0.633,0.000063,,1,siret3_r019_c013.tif,629662.093,5220232.088
vineyard,V05,V05,0.552,0.000055,,1,siret3_r008_c001.tif,629080.116,5220762.565
vineyard,V54,V54,0.535,0.000053,,1,siret3_r008_c003.tif,629192.595,5220778.190
vineyard,V378,V378,0.541,0.000054,,1,siret3_r021_c012.tif,629650.935,5220106.037
vineyard,V44,V44,0.458,0.000046,,1,siret3_r007_c002.tif,629131.194,5220859.913
vineyard,V44,V44,0.621,0.000062,,1,siret3_r007_c003.tif,629167.930,5220837.787
vineyard,V378,V378,0.540,0.000054,,1,siret3_r022_c012.tif,629628.273,5220085.474
vineyard,V378,V378,0.746,0.000075,,1,siret3_r021_c014.tif,629749.769,5220127.369
vineyard,V44,V44,0.525,0.000053,,1,siret3_r006_c004.tif,629225.352,5220885.264
vineyard,V378,V378,0.544,0.000054,,1,siret3_r020_c011.tif,629598.965,5220160.765
vineyard,V54,V54,0.434,0.000043,,1,siret3_r008_c003.tif,629190.121,5220763.566
vineyard,V378,V378,0.284,0.000028,,1,siret3_r021_c011.tif,629596.967,5220144.713
vineyard,V331,V331,0.756,0.000076,,1,siret3_r019_c012.tif,629630.788,5220209.236
vineyard,V331,V331,0.652,0.000065,,1,siret3_r019_c011.tif,629592.672,5220226.765
vineyard,V54,V54,0.606,0.000061,,1,siret3_r008_c004.tif,629218.476,5220775.180
vineyard,V54,V54,0.371,0.000037,,1,siret3_r009_c004.tif,629200.994,5220737.081
vineyard,V05,V05,0.403,0.000040,,1,siret3_r009_c002.tif,629104.304,5220725.575
vineyard,V331,V331,0.707,0.000071,,1,siret3_r019_c012.tif,629615.270,5220215.283
vineyard,V54,V54,0.504,0.000050,,1,siret3_r008_c003.tif,629186.801,5220771.747
vineyard,V964,V964,0.525,0.000053,,1,siret3_r035_c022.tif,630165.523,5219408.452
vineyard,V378,V378,0.568,0.000057,,1,siret3_r020_c011.tif,629578.542,5220150.661
vineyard,V05,V05,0.412,0.000041,,1,siret3_r008_c002.tif,629121.655,5220780.834
vineyard,V05,V05,0.519,0.000052,,1,siret3_r010_c002.tif,629104.545,5220704.161
vineyard,V54,V54,0.523,0.000052,,1,siret3_r008_c004.tif,629214.851,5220763.879
vineyard,V54,V54,0.397,0.000040,,1,siret3_r008_c003.tif,629182.248,5220783.204
vineyard,V378,V378,0.527,0.000053,,1,siret3_r021_c013.tif,629669.039,5220118.162
vineyard,V331,V331,0.461,0.000046,,1,siret3_r019_c012.tif,629620.255,5220241.446
vineyard,V378,V378,0.777,0.000078,,1,siret3_r020_c012.tif,629654.948,5220186.713
vineyard,V378,V378,0.760,0.000076,,1,siret3_r020_c012.tif,629638.288,5220180.647
vineyard,V398,V398,0.435,0.000043,,1,siret3_r023_c014.tif,629742.021,5220036.105
vineyard,V378,V378,0.535,0.000053,,1,siret3_r021_c011.tif,629592.523,5220127.305
vineyard,V627,V627,0.568,0.000057,,1,siret3_r026_c017.tif,629896.109,5219883.335
vineyard,V237,V237,0.721,0.000072,,1,siret3_r019_c010.tif,629521.835,5220221.135
vineyard,V54,V54,0.512,0.000051,,1,siret3_r008_c003.tif,629180.101,5220795.478
vineyard,V378,V378,0.503,0.000050,,1,siret3_r020_c012.tif,629653.120,5220175.278
vineyard,V44,V44,0.518,0.000052,,1,siret3_r006_c004.tif,629226.867,5220868.436
vineyard,V54,V54,0.742,0.000074,,1,siret3_r009_c003.tif,629192.285,5220725.574
vineyard,V44,V44,0.494,0.000049,,1,siret3_r006_c004.tif,629239.223,5220904.849
vineyard,V833,V833,0.442,0.000044,,1,siret3_r026_c020.tif,630017.823,5219844.996
vineyard,V54,V54,0.634,0.000063,,1,siret3_r007_c003.tif,629182.938,5220814.596
vineyard,V378,V378,0.658,0.000066,,1,siret3_r021_c014.tif,629758.700,5220124.882
vineyard,V378,V378,0.630,0.000063,,1,siret3_r020_c013.tif,629704.450,5220182.001
vineyard,V331,V331,0.447,0.000045,,1,siret3_r019_c012.tif,629632.925,5220206.326
vineyard,V331,V331,0.751,0.000075,,1,siret3_r019_c012.tif,629653.616,5220211.149
vineyard,V378,V378,0.402,0.000040,,1,siret3_r021_c013.tif,629689.030,5220123.468
vineyard,V54,V54,0.488,0.000049,,1,siret3_r008_c003.tif,629189.492,5220765.254
vineyard,V331,V331,0.585,0.000058,,1,siret3_r019_c010.tif,629536.845,5220242.945
vineyard,V378,V378,0.680,0.000068,,1,siret3_r020_c014.tif,629737.252,5220161.590
vineyard,V54,V54,0.686,0.000069,,1,siret3_r008_c004.tif,629219.248,5220793.379
vineyard,V54,V54,0.394,0.000039,,1,siret3_r008_c004.tif,629217.220,5220771.369
vineyard,V398,V398,0.535,0.000053,,1,siret3_r023_c014.tif,629730.226,5220042.247
vineyard,V378,V378,0.449,0.000045,,1,siret3_r021_c012.tif,629651.233,5220126.530
vineyard,V378,V378,0.611,0.000061,,1,siret3_r021_c014.tif,629754.284,5220125.871
vineyard,V331,V331,0.730,0.000073,,1,siret3_r019_c012.tif,629639.748,5220242.929
vineyard,V05,V05,0.662,0.000066,,1,siret3_r009_c002.tif,629135.946,5220736.916
vineyard,V54,V54,0.567,0.000057,,1,siret3_r008_c004.tif,629215.779,5220788.553
vineyard,V331,V331,0.579,0.000058,,1,siret3_r019_c011.tif,629585.681,5220231.706
vineyard,V331,V331,0.541,0.000054,,1,siret3_r020_c011.tif,629569.845,5220175.935
vineyard,V627,V627,0.482,0.000048,,1,siret3_r026_c018.tif,629938.227,5219843.980
vineyard,V44,V44,1.466,0.000147,,1,siret3_r006_c004.tif,629219.739,5220905.462
vineyard,V331,V331,0.664,0.000066,,1,siret3_r018_c012.tif,629636.654,5220251.038
vineyard,V378,V378,0.654,0.000065,,1,siret3_r020_c014.tif,629718.081,5220150.123
vineyard,V331,V331,0.655,0.000065,,1,siret3_r020_c012.tif,629611.008,5220189.090
vineyard,V378,V378,0.603,0.000060,,1,siret3_r021_c012.tif,629630.788,5220131.850
vineyard,V525,V525,0.614,0.000061,,1,siret3_r021_c016.tif,629838.000,5220134.856
vineyard,V54,V54,0.493,0.000049,,1,siret3_r009_c004.tif,629205.077,5220733.800
vineyard,V54,V54,0.361,0.000036,,1,siret3_r008_c004.tif,629212.073,5220797.281
vineyard,V378,V378,0.698,0.000070,,1,siret3_r021_c013.tif,629686.109,5220104.812
vineyard,V331,V331,0.683,0.000068,,1,siret3_r019_c012.tif,629646.112,5220248.359
vineyard,V331,V331,0.525,0.000052,,1,siret3_r019_c010.tif,629540.623,5220210.038
vineyard,V378,V378,0.888,0.000089,,1,siret3_r021_c011.tif,629583.874,5220134.270
vineyard,V378,V378,0.686,0.000069,,1,siret3_r020_c013.tif,629699.594,5220165.190
vineyard,V54,V54,0.802,0.000080,,1,siret3_r007_c003.tif,629166.891,5220814.135
vineyard,V378,V378,0.526,0.000053,,1,siret3_r021_c013.tif,629695.091,5220120.306
vineyard,V44,V44,0.597,0.000060,,1,siret3_r005_c004.tif,629205.872,5220924.709
vineyard,V54,V54,0.477,0.000048,,1,siret3_r009_c004.tif,629203.672,5220723.477
vineyard,V54,V54,0.532,0.000053,,1,siret3_r008_c005.tif,629256.485,5220810.268
vineyard,V525,V525,0.574,0.000057,,1,siret3_r021_c016.tif,629842.945,5220135.137
vineyard,V54,V54,0.706,0.000071,,1,siret3_r007_c004.tif,629200.113,5220813.963
vineyard,V378,V378,1.056,0.000106,,1,siret3_r021_c015.tif,629767.295,5220126.708
vineyard,V331,V331,0.509,0.000051,,1,siret3_r019_c012.tif,629620.095,5220223.100
vineyard,V378,V378,0.590,0.000059,,1,siret3_r020_c013.tif,629663.720,5220174.995
vineyard,V44,V44,0.540,0.000054,,1,siret3_r006_c004.tif,629236.189,5220872.469
vineyard,V54,V54,0.383,0.000038,,1,siret3_r008_c004.tif,629197.241,5220793.186
vineyard,V54,V54,0.570,0.000057,,1,siret3_r008_c004.tif,629198.816,5220803.713
vineyard,V54,V54,0.718,0.000072,,1,siret3_r009_c004.tif,629201.091,5220750.852
vineyard,V331,V331,0.677,0.000068,,1,siret3_r019_c012.tif,629653.745,5220207.111
vineyard,V54,V54,0.590,0.000059,,1,siret3_r009_c003.tif,629188.788,5220760.600
vineyard,V44,V44,1.777,0.000178,,1,siret3_r005_c004.tif,629207.044,5220928.501
vineyard,V378,V378,0.496,0.000050,,1,siret3_r020_c013.tif,629673.825,5220162.274
vineyard,V331,V331,0.597,0.000060,,1,siret3_r018_c010.tif,629546.560,5220259.711
vineyard,V44,V44,0.358,0.000036,,1,siret3_r006_c004.tif,629219.841,5220891.540
vineyard,V331,V331,0.511,0.000051,,1,siret3_r019_c011.tif,629557.586,5220215.324
vineyard,V331,V331,0.620,0.000062,,1,siret3_r019_c011.tif,629603.860,5220221.134
vineyard,V54,V54,0.492,0.000049,,1,siret3_r008_c005.tif,629271.244,5220780.386
vineyard,V378,V378,0.489,0.000049,,1,siret3_r020_c011.tif,629589.546,5220149.716
vineyard,V05,V05,0.485,0.000048,,1,siret3_r009_c001.tif,629092.146,5220733.443
vineyard,V331,V331,0.583,0.000058,,1,siret3_r018_c012.tif,629631.421,5220267.654
vineyard,V05,V05,0.471,0.000047,,1,siret3_r009_c002.tif,629097.922,5220741.091
vineyard,V378,V378,0.799,0.000080,,1,siret3_r020_c012.tif,629645.765,5220175.920
vineyard,V378,V378,0.709,0.000071,,1,siret3_r020_c013.tif,629692.937,5220173.729
vineyard,V398,V398,0.450,0.000045,,1,siret3_r022_c013.tif,629706.553,5220064.276
vineyard,V378,V378,0.464,0.000046,,1,siret3_r020_c013.tif,629663.366,5220180.117
vineyard,V54,V54,0.417,0.000042,,1,siret3_r008_c004.tif,629211.105,5220786.462
vineyard,V904,V904,0.433,0.000043,,1,siret3_r030_c021.tif,630092.516,5219669.654
vineyard,V331,V331,0.382,0.000038,,1,siret3_r019_c012.tif,629632.295,5220212.027
vineyard,V378,V378,0.535,0.000053,,1,siret3_r020_c013.tif,629700.409,5220173.598
vineyard,V331,V331,0.635,0.000063,,1,siret3_r019_c012.tif,629644.266,5220215.002
vineyard,V331,V331,0.663,0.000066,,1,siret3_r018_c012.tif,629615.472,5220269.942
vineyard,V54,V54,0.453,0.000045,,1,siret3_r007_c003.tif,629179.068,5220831.089
vineyard,V54,V54,1.189,0.000119,,1,siret3_r008_c003.tif,629189.173,5220806.536
vineyard,V54,V54,0.861,0.000086,,1,siret3_r009_c003.tif,629170.499,5220744.448
vineyard,V904,V904,0.410,0.000041,,1,siret3_r030_c021.tif,630085.288,5219679.706
vineyard,V44,V44,0.457,0.000046,,1,siret3_r006_c004.tif,629226.007,5220883.790
vineyard,V54,V54,0.443,0.000044,,1,siret3_r009_c004.tif,629204.149,5220728.939
vineyard,V331,V331,0.563,0.000056,,1,siret3_r019_c012.tif,629637.384,5220228.503
vineyard,V627,V627,0.417,0.000042,,1,siret3_r025_c017.tif,629876.666,5219917.902
vineyard,V331,V331,0.666,0.000067,,1,siret3_r019_c012.tif,629609.671,5220204.931
vineyard,V378,V378,0.595,0.000059,,1,siret3_r021_c014.tif,629744.293,5220143.542
vineyard,V398,V398,0.562,0.000056,,1,siret3_r022_c014.tif,629715.182,5220084.790
vineyard,V331,V331,0.635,0.000064,,1,siret3_r019_c012.tif,629642.318,5220217.289
vineyard,V331,V331,0.538,0.000054,,1,siret3_r019_c011.tif,629566.369,5220203.671
vineyard,V54,V54,0.466,0.000047,,1,siret3_r008_c005.tif,629253.042,5220797.555
vineyard,V525,V525,0.638,0.000064,,1,siret3_r021_c016.tif,629835.051,5220138.412
vineyard,V54,V54,0.523,0.000052,,1,siret3_r009_c003.tif,629195.950,5220749.569
vineyard,V378,V378,0.574,0.000057,,1,siret3_r021_c011.tif,629595.675,5220141.786
vineyard,V54,V54,0.470,0.000047,,1,siret3_r009_c004.tif,629209.829,5220756.105
vineyard,V54,V54,0.680,0.000068,,1,siret3_r008_c003.tif,629178.905,5220791.361
vineyard,V44,V44,0.436,0.000044,,1,siret3_r006_c004.tif,629199.298,5220895.143
vineyard,V54,V54,1.635,0.000163,,1,siret3_r008_c003.tif,629153.465,5220799.669
vineyard,V331,V331,0.734,0.000073,,1,siret3_r019_c012.tif,629649.582,5220208.092
vineyard,V331,V331,0.657,0.000066,,1,siret3_r018_c011.tif,629564.239,5220265.065
vineyard,V378,V378,0.466,0.000047,,1,siret3_r020_c012.tif,629654.645,5220182.304
vineyard,V54,V54,1.513,0.000151,,1,siret3_r007_c004.tif,629205.632,5220833.841
vineyard,V378,V378,0.688,0.000069,,1,siret3_r020_c014.tif,629728.132,5220155.509
vineyard,V331,V331,0.458,0.000046,,1,siret3_r019_c012.tif,629640.892,5220214.639
vineyard,V378,V378,0.682,0.000068,,1,siret3_r020_c012.tif,629608.497,5220161.147
vineyard,V378,V378,0.410,0.000041,,1,siret3_r020_c013.tif,629688.708,5220161.280
vineyard,V54,V54,0.589,0.000059,,1,siret3_r008_c004.tif,629211.688,5220792.053
vineyard,V54,V54,0.667,0.000067,,1,siret3_r007_c003.tif,629168.079,5220817.815
vineyard,V378,V378,0.530,0.000053,,1,siret3_r020_c014.tif,629718.912,5220148.914
vineyard,V54,V54,0.437,0.000044,,1,siret3_r008_c003.tif,629185.186,5220796.079
vineyard,V378,V378,0.711,0.000071,,1,siret3_r020_c014.tif,629722.927,5220175.726
vineyard,V54,V54,0.530,0.000053,,1,siret3_r008_c004.tif,629212.031,5220783.804
vineyard,V378,V378,0.481,0.000048,,1,siret3_r021_c014.tif,629709.866,5220115.123
vineyard,V331,V331,0.528,0.000053,,1,siret3_r018_c012.tif,629622.072,5220275.142
vineyard,V05,V05,0.451,0.000045,,1,siret3_r010_c002.tif,629120.897,5220705.610
vineyard,V378,V378,0.485,0.000049,,1,siret3_r020_c013.tif,629685.909,5220196.839
vineyard,V05,V05,0.590,0.000059,,1,siret3_r010_c002.tif,629120.309,5220701.349
vineyard,V54,V54,0.602,0.000060,,1,siret3_r009_c004.tif,629247.261,5220744.787
vineyard,V331,V331,0.775,0.000077,,1,siret3_r018_c011.tif,629560.892,5220264.886
vineyard,V54,V54,0.470,0.000047,,1,siret3_r008_c004.tif,629216.587,5220793.635
vineyard,V398,V398,0.404,0.000040,,1,siret3_r023_c015.tif,629765.534,5220032.949
vineyard,V378,V378,0.589,0.000059,,1,siret3_r020_c011.tif,629575.077,5220150.541
vineyard,V54,V54,0.471,0.000047,,1,siret3_r007_c003.tif,629163.208,5220823.343
vineyard,V378,V378,0.471,0.000047,,1,siret3_r020_c014.tif,629709.886,5220151.583
vineyard,V44,V44,0.456,0.000046,,1,siret3_r006_c004.tif,629220.348,5220883.845
vineyard,V331,V331,0.605,0.000060,,1,siret3_r019_c012.tif,629640.869,5220241.566
vineyard,V292,V292,0.558,0.000056,,1,siret3_r021_c011.tif,629573.940,5220143.213
vineyard,V331,V331,0.689,0.000069,,1,siret3_r019_c013.tif,629668.034,5220206.463
vineyard,V378,V378,0.710,0.000071,,1,siret3_r020_c012.tif,629645.256,5220166.498
vineyard,V54,V54,0.605,0.000060,,1,siret3_r007_c004.tif,629207.319,5220843.463
vineyard,V54,V54,0.647,0.000065,,1,siret3_r008_c005.tif,629254.719,5220807.498
vineyard,V54,V54,0.416,0.000042,,1,siret3_r008_c003.tif,629173.608,5220804.416
